"name","type","brand","model","specs"
"AMD A4-5000 APU","CPU","AMD","A4-5000 APU","Cores: 4, TDP: 15W"
"AMD A4-5050 APU","CPU","AMD","A4-5050 APU","Cores: 4, TDP: 13.5W"
"AMD A4-5100 APU","CPU","AMD","A4-5100 APU","Cores: 4, TDP: 15W"
"AMD A4-5150M APU","CPU","AMD","A4-5150M APU","Cores: 2, TDP: 35W"
"AMD A4-5300 APU","CPU","AMD","A4-5300 APU","Cores: 2, TDP: 65W"
"AMD A4-5300B APU","CPU","AMD","A4-5300B APU","Cores: 2, TDP: 65W"
"AMD A4-6210 APU","CPU","AMD","A4-6210 APU","Cores: 4, TDP: 15W"
"AMD A4-6250J APU","CPU","AMD","A4-6250J APU","Cores: 4, TDP: 25W"
"AMD A4-6300 APU","CPU","AMD","A4-6300 APU","Cores: 1, TDP: 65W"
"AMD A4-6300B APU","CPU","AMD","A4-6300B APU","Cores: 1, TDP: 65W"
"AMD A4-6320 APU","CPU","AMD","A4-6320 APU","Cores: 1, TDP: 65W"
"AMD A4-7210 APU","CPU","AMD","A4-7210 APU","Cores: 4, TDP: 25W"
"AMD A4-7300 APU","CPU","AMD","A4-7300 APU","Cores: 1, TDP: 65W"
"AMD A4-9120","CPU","AMD","A4-9120 undefined","Cores: 2, TDP: 15W"
"AMD A4-9120C","CPU","AMD","A4-9120C undefined","Cores: 2, TDP: 6W"
"AMD A4-9120e","CPU","AMD","A4-9120e undefined","Cores: 2, TDP: NAW"
"AMD A4-9125","CPU","AMD","A4-9125 undefined","Cores: 2, TDP: 15W"
"AMD A6 Micro-6500T APU","CPU","AMD","A6 Micro-6500T","Cores: 4, TDP: NAW"
"AMD A6 PRO-7050B APU","CPU","AMD","A6 PRO-7050B","Cores: 2, TDP: 17W"
"AMD A6 PRO-7400B","CPU","AMD","A6 PRO-7400B","Cores: 1, TDP: 65W"
"AMD A6-1450 APU","CPU","AMD","A6-1450 APU","Cores: 4, TDP: 8W"
"AMD A6-3400M APU","CPU","AMD","A6-3400M APU","Cores: 4, TDP: 35W"
"AMD A6-3410MX APU","CPU","AMD","A6-3410MX APU","Cores: 4, TDP: 45W"
"AMD A6-3420M APU","CPU","AMD","A6-3420M APU","Cores: 4, TDP: 35W"
"AMD A6-3430MX APU","CPU","AMD","A6-3430MX APU","Cores: 4, TDP: 45W"
"AMD A6-3500 APU","CPU","AMD","A6-3500 APU","Cores: 3, TDP: 65W"
"AMD A6-3600 APU","CPU","AMD","A6-3600 APU","Cores: 4, TDP: 65W"
"AMD A6-3620 APU","CPU","AMD","A6-3620 APU","Cores: 4, TDP: 65W"
"AMD A6-3650 APU","CPU","AMD","A6-3650 APU","Cores: 4, TDP: 100W"
"AMD A6-3670 APU","CPU","AMD","A6-3670 APU","Cores: 4, TDP: 100W"
"AMD A6-4400M APU","CPU","AMD","A6-4400M APU","Cores: 1, TDP: 35W"
"AMD A6-4455M APU","CPU","AMD","A6-4455M APU","Cores: 1, TDP: 17W"
"AMD A6-5200 APU","CPU","AMD","A6-5200 APU","Cores: 4, TDP: 25W"
"AMD A6-5345M APU","CPU","AMD","A6-5345M APU","Cores: 2, TDP: 17W"
"AMD A6-5350M APU","CPU","AMD","A6-5350M APU","Cores: 2, TDP: 35W"
"AMD A6-5357M APU","CPU","AMD","A6-5357M APU","Cores: 2, TDP: 35W"
"AMD A6-5400B APU","CPU","AMD","A6-5400B APU","Cores: 1, TDP: 65W"
"AMD A6-5400K APU","CPU","AMD","A6-5400K APU","Cores: 1, TDP: 65W"
"AMD A6-6310 APU","CPU","AMD","A6-6310 APU","Cores: 4, TDP: 15W"
"AMD A6-6400B APU","CPU","AMD","A6-6400B APU","Cores: 1, TDP: 65W"
"AMD A6-6400K APU","CPU","AMD","A6-6400K APU","Cores: 1, TDP: 65W"
"AMD A6-6420B APU","CPU","AMD","A6-6420B APU","Cores: 1, TDP: 65W"
"AMD A6-6420K APU","CPU","AMD","A6-6420K APU","Cores: 2, TDP: 65W"
"AMD A6-7000","CPU","AMD","A6-7000 undefined","Cores: 2, TDP: 17W"
"AMD A6-7310 APU","CPU","AMD","A6-7310 APU","Cores: 4, TDP: 25W"
"AMD A6-7400K APU","CPU","AMD","A6-7400K APU","Cores: 2, TDP: 65W"
"AMD A6-7470K","CPU","AMD","A6-7470K undefined","Cores: 1, TDP: 65W"
"AMD A6-7480","CPU","AMD","A6-7480 undefined","Cores: 2, TDP: 65W"
"AMD A6-8500P","CPU","AMD","A6-8500P undefined","Cores: 2, TDP: 15W"
"AMD A6-8550","CPU","AMD","A6-8550 undefined","Cores: 2, TDP: 65W"
"AMD A6-9200","CPU","AMD","A6-9200 undefined","Cores: 2, TDP: 10W"
"AMD A6-9210","CPU","AMD","A6-9210 undefined","Cores: 2, TDP: 15W"
"AMD A6-9220","CPU","AMD","A6-9220 undefined","Cores: 2, TDP: 15W"
"AMD A6-9220C","CPU","AMD","A6-9220C undefined","Cores: 2, TDP: 6W"
"AMD A6-9220e","CPU","AMD","A6-9220e undefined","Cores: 2, TDP: NAW"
"AMD A6-9225","CPU","AMD","A6-9225 undefined","Cores: 2, TDP: 15W"
"AMD A6-9230","CPU","AMD","A6-9230 undefined","Cores: 2, TDP: 15W"
"AMD A6-9400","CPU","AMD","A6-9400 undefined","Cores: 2, TDP: 10W"
"AMD A6-9500","CPU","AMD","A6-9500 undefined","Cores: 2, TDP: 65W"
"AMD A6-9500E","CPU","AMD","A6-9500E undefined","Cores: 2, TDP: 35W"
"AMD A8 PRO-7150B APU","CPU","AMD","A8 PRO-7150B","Cores: 4, TDP: 19W"
"AMD A8 PRO-7600B APU","CPU","AMD","A8 PRO-7600B","Cores: 4, TDP: 65W"
"AMD A8-3500M APU","CPU","AMD","A8-3500M APU","Cores: 4, TDP: 35W"
"AMD A8-3510MX APU","CPU","AMD","A8-3510MX APU","Cores: 4, TDP: 45W"
"AMD A8-3520M APU","CPU","AMD","A8-3520M APU","Cores: 4, TDP: 35W"
"AMD A8-3530MX APU","CPU","AMD","A8-3530MX APU","Cores: 4, TDP: 45W"
"AMD A8-3550MX APU","CPU","AMD","A8-3550MX APU","Cores: 4, TDP: 45W"
"AMD A8-3800 APU","CPU","AMD","A8-3800 APU","Cores: 4, TDP: 65W"
"AMD A8-3820 APU","CPU","AMD","A8-3820 APU","Cores: 4, TDP: 65W"
"AMD A8-3850 APU","CPU","AMD","A8-3850 APU","Cores: 4, TDP: 100W"
"AMD A8-3870K APU","CPU","AMD","A8-3870K APU","Cores: 4, TDP: 100W"
"AMD A8-4500M APU","CPU","AMD","A8-4500M APU","Cores: 2, TDP: 35W"
"AMD A8-4555M APU","CPU","AMD","A8-4555M APU","Cores: 2, TDP: 19W"
"AMD A8-5500 APU","CPU","AMD","A8-5500 APU","Cores: 2, TDP: 65W"
"AMD A8-5500B APU","CPU","AMD","A8-5500B APU","Cores: 2, TDP: 65W"
"AMD A8-5545M APU","CPU","AMD","A8-5545M APU","Cores: 4, TDP: 19W"
"AMD A8-5550M APU","CPU","AMD","A8-5550M APU","Cores: 4, TDP: 35W"
"AMD A8-5557M APU","CPU","AMD","A8-5557M APU","Cores: 4, TDP: 35W"
"AMD A8-5600K APU","CPU","AMD","A8-5600K APU","Cores: 2, TDP: 100W"
"AMD A8-6410 APU","CPU","AMD","A8-6410 APU","Cores: 4, TDP: 15W"
"AMD A8-6500 APU","CPU","AMD","A8-6500 APU","Cores: 2, TDP: 65W"
"AMD A8-6500B APU","CPU","AMD","A8-6500B APU","Cores: 2, TDP: 65W"
"AMD A8-6500T APU","CPU","AMD","A8-6500T APU","Cores: 2, TDP: 45W"
"AMD A8-6600K APU","CPU","AMD","A8-6600K APU","Cores: 2, TDP: 100W"
"AMD A8-7050","CPU","AMD","A8-7050 undefined","Cores: 2, TDP: 15W"
"AMD A8-7100 APU","CPU","AMD","A8-7100 APU","Cores: 4, TDP: 19W"
"AMD A8-7200P","CPU","AMD","A8-7200P undefined","Cores: 4, TDP: 35W"
"AMD A8-7410 APU","CPU","AMD","A8-7410 APU","Cores: 4, TDP: 25W"
"AMD A8-7500","CPU","AMD","A8-7500 undefined","Cores: 2, TDP: 65W"
"AMD A8-7600 APU","CPU","AMD","A8-7600 APU","Cores: 2, TDP: 65W"
"AMD A8-7650K","CPU","AMD","A8-7650K undefined","Cores: 2, TDP: 65W"
"AMD A8-7670K","CPU","AMD","A8-7670K undefined","Cores: 4, TDP: 95W"
"AMD A8-7680","CPU","AMD","A8-7680 undefined","Cores: 4, TDP: 45W"
"AMD A8-8600P","CPU","AMD","A8-8600P undefined","Cores: 2, TDP: 15W"
"AMD A8-8650","CPU","AMD","A8-8650 undefined","Cores: 4, TDP: 65W"
"AMD A8-9600","CPU","AMD","A8-9600 undefined","Cores: 4, TDP: 65W"
"AMD A9-9400","CPU","AMD","A9-9400 undefined","Cores: 2, TDP: 10W"
"AMD A9-9410","CPU","AMD","A9-9410 undefined","Cores: 2, TDP: 25W"
"AMD A9-9420","CPU","AMD","A9-9420 undefined","Cores: 2, TDP: 15W"
"AMD A9-9420e","CPU","AMD","A9-9420e undefined","Cores: 2, TDP: NAW"
"AMD A9-9425","CPU","AMD","A9-9425 undefined","Cores: 2, TDP: 15W"
"AMD A9-9430","CPU","AMD","A9-9430 undefined","Cores: 2, TDP: NAW"
"AMD A9-9820","CPU","AMD","A9-9820 undefined","Cores: 8, TDP: NAW"
"AMD Athlon 1500+","CPU","AMD","Athlon 1500+","Cores: 1, TDP: NAW"
"AMD Athlon 1640B","CPU","AMD","Athlon 1640B","Cores: 1, TDP: 45W"
"AMD Athlon 200GE","CPU","AMD","Athlon 200GE","Cores: 2, TDP: 35W"
"AMD Athlon 220GE","CPU","AMD","Athlon 220GE","Cores: 2, TDP: 35W"
"AMD Athlon 240GE","CPU","AMD","Athlon 240GE","Cores: 2, TDP: 35W"
"AMD Athlon 2650e","CPU","AMD","Athlon 2650e","Cores: 1, TDP: NAW"
"AMD Athlon 2800+","CPU","AMD","Athlon 2800+","Cores: 1, TDP: 89W"
"AMD Athlon 2850e","CPU","AMD","Athlon 2850e","Cores: 1, TDP: 22W"
"AMD Athlon 3000G","CPU","AMD","Athlon 3000G","Cores: 2, TDP: 35W"
"AMD Athlon 300GE","CPU","AMD","Athlon 300GE","Cores: 2, TDP: 35W"
"AMD Athlon 300U","CPU","AMD","Athlon 300U","Cores: 2, TDP: 15W"
"AMD Athlon 320GE","CPU","AMD","Athlon 320GE","Cores: 2, TDP: 35W"
"AMD Athlon 5000 Dual-Core","CPU","AMD","Athlon 5000","Cores: 2, TDP: 65W"
"AMD Athlon 5150 APU","CPU","AMD","Athlon 5150","Cores: 4, TDP: 25W"
"AMD Athlon 5200 Dual-Core","CPU","AMD","Athlon 5200","Cores: 2, TDP: 75W"
"AMD Athlon 5350 APU","CPU","AMD","Athlon 5350","Cores: 4, TDP: 25W"
"AMD Athlon 5370 APU","CPU","AMD","Athlon 5370","Cores: 4, TDP: 25W"
"AMD Athlon 64 2000+","CPU","AMD","Athlon 64","Cores: 1, TDP: 8W"
"AMD Athlon 64 2600+","CPU","AMD","Athlon 64","Cores: 1, TDP: 15W"
"AMD Athlon 64 2800+","CPU","AMD","Athlon 64","Cores: 1, TDP: 89W"
"AMD Athlon 64 3000+","CPU","AMD","Athlon 64","Cores: 1, TDP: 89W"
"AMD Athlon 64 3100+","CPU","AMD","Athlon 64","Cores: 1, TDP: 89W"
"AMD Athlon 64 3200+","CPU","AMD","Athlon 64","Cores: 1, TDP: 62W"
"AMD Athlon 64 3300+","CPU","AMD","Athlon 64","Cores: 1, TDP: NAW"
"AMD Athlon 64 3400+","CPU","AMD","Athlon 64","Cores: 1, TDP: 89W"
"AMD Athlon 64 3500+","CPU","AMD","Athlon 64","Cores: 1, TDP: 45W"
"AMD Athlon 64 3700+","CPU","AMD","Athlon 64","Cores: 1, TDP: 89W"
"AMD Athlon 64 3800+","CPU","AMD","Athlon 64","Cores: 1, TDP: 45W"
"AMD Athlon 64 4000+","CPU","AMD","Athlon 64","Cores: 1, TDP: 62W"
"AMD Athlon 64 FX-55","CPU","AMD","Athlon 64","Cores: 1, TDP: 104W"
"AMD Athlon 64 FX-57","CPU","AMD","Athlon 64","Cores: 1, TDP: 104W"
"AMD Athlon 64 FX-59","CPU","AMD","Athlon 64","Cores: 1, TDP: NAW"
"AMD Athlon 64 FX-60 Dual Core","CPU","AMD","Athlon 64","Cores: 2, TDP: 110W"
"AMD Athlon 64 FX-62 Dual Core","CPU","AMD","Athlon 64","Cores: 2, TDP: 125W"
"AMD Athlon 64 FX-74","CPU","AMD","Athlon 64","Cores: 2, TDP: 125W"
"AMD Athlon 64 X2 3800+","CPU","AMD","Athlon 64","Cores: 2, TDP: 89W"
"AMD Athlon 64 X2 Dual Core 3400+","CPU","AMD","Athlon 64","Cores: 2, TDP: 89W"
"AMD Athlon 64 X2 Dual Core 3600+","CPU","AMD","Athlon 64","Cores: 2, TDP: 65W"
"AMD Athlon 64 X2 Dual Core 3800+","CPU","AMD","Athlon 64","Cores: 2, TDP: 89W"
"AMD Athlon 64 X2 Dual Core 4000+","CPU","AMD","Athlon 64","Cores: 2, TDP: 65W"
"AMD Athlon 64 X2 Dual Core 4200+","CPU","AMD","Athlon 64","Cores: 2, TDP: 89W"
"AMD Athlon 64 X2 Dual Core 4400+","CPU","AMD","Athlon 64","Cores: 2, TDP: 65W"
"AMD Athlon 64 X2 Dual Core 4600+","CPU","AMD","Athlon 64","Cores: 2, TDP: 65W"
"AMD Athlon 64 X2 Dual Core 4800+","CPU","AMD","Athlon 64","Cores: 2, TDP: 65W"
"AMD Athlon 64 X2 Dual Core 5000+","CPU","AMD","Athlon 64","Cores: 2, TDP: 65W"
"AMD Athlon 64 X2 Dual Core 5200+","CPU","AMD","Athlon 64","Cores: 2, TDP: 65W"
"AMD Athlon 64 X2 Dual Core 5400+","CPU","AMD","Athlon 64","Cores: 2, TDP: 65W"
"AMD Athlon 64 X2 Dual Core 5600+","CPU","AMD","Athlon 64","Cores: 2, TDP: 89W"
"AMD Athlon 64 X2 Dual Core 5800+","CPU","AMD","Athlon 64","Cores: 2, TDP: 89W"
"AMD Athlon 64 X2 Dual Core 6000+","CPU","AMD","Athlon 64","Cores: 2, TDP: 89W"
"AMD Athlon 64 X2 Dual Core 6400+","CPU","AMD","Athlon 64","Cores: 2, TDP: 125W"
"AMD Athlon 64 X2 Dual Core BE-2300","CPU","AMD","Athlon 64","Cores: 2, TDP: 45W"
"AMD Athlon 64 X2 Dual Core BE-2350","CPU","AMD","Athlon 64","Cores: 2, TDP: 45W"
"AMD Athlon 64 X2 Dual Core TK-53","CPU","AMD","Athlon 64","Cores: 2, TDP: 31W"
"AMD Athlon 64 X2 Dual Core TK-55","CPU","AMD","Athlon 64","Cores: 2, TDP: 31W"
"AMD Athlon 64 X2 Dual-Core TK-42","CPU","AMD","Athlon 64","Cores: 2, TDP: 20W"
"AMD Athlon 64 X2 Dual-Core TK-53","CPU","AMD","Athlon 64","Cores: 2, TDP: 31W"
"AMD Athlon 64 X2 Dual-Core TK-55","CPU","AMD","Athlon 64","Cores: 2, TDP: 35W"
"AMD Athlon 64 X2 Dual-Core TK-57","CPU","AMD","Athlon 64","Cores: 2, TDP: 31W"
"AMD Athlon 64 X2 QL-60","CPU","AMD","Athlon 64","Cores: 2, TDP: 35W"
"AMD Athlon 64 X2 QL-62","CPU","AMD","Athlon 64","Cores: 2, TDP: 35W"
"AMD Athlon 64 X2 QL-64","CPU","AMD","Athlon 64","Cores: 2, TDP: 35W"
"AMD Athlon 64 X2 QL-65","CPU","AMD","Athlon 64","Cores: 2, TDP: 35W"
"AMD Athlon 64 X2 QL-66","CPU","AMD","Athlon 64","Cores: 2, TDP: 35W"
"AMD Athlon 64 X2 QL-67","CPU","AMD","Athlon 64","Cores: 2, TDP: 35W"
"AMD Athlon 64 X2 TK-57","CPU","AMD","Athlon 64","Cores: 2, TDP: 31W"
"AMD Athlon 7450 Dual-Core","CPU","AMD","Athlon 7450","Cores: 2, TDP: 95W"
"AMD Athlon 7550 Dual-Core","CPU","AMD","Athlon 7550","Cores: 2, TDP: 95W"
"AMD Athlon 7750 Dual-Core","CPU","AMD","Athlon 7750","Cores: 2, TDP: 95W"
"AMD Athlon 7850 Dual-Core","CPU","AMD","Athlon 7850","Cores: 2, TDP: 95W"
"AMD Athlon Dual Core 4050e","CPU","AMD","Athlon Dual","Cores: 2, TDP: 45W"
"AMD Athlon Dual Core 4450B","CPU","AMD","Athlon Dual","Cores: 2, TDP: 45W"
"AMD Athlon Dual Core 4450e","CPU","AMD","Athlon Dual","Cores: 2, TDP: 45W"
"AMD Athlon Dual Core 4850B","CPU","AMD","Athlon Dual","Cores: 2, TDP: 45W"
"AMD Athlon Dual Core 4850e","CPU","AMD","Athlon Dual","Cores: 2, TDP: 45W"
"AMD Athlon Dual Core 5000B","CPU","AMD","Athlon Dual","Cores: 2, TDP: 65W"
"AMD Athlon Dual Core 5050e","CPU","AMD","Athlon Dual","Cores: 2, TDP: 45W"
"AMD Athlon Dual Core 5200B","CPU","AMD","Athlon Dual","Cores: 2, TDP: 65W"
"AMD Athlon Dual Core 5400B","CPU","AMD","Athlon Dual","Cores: 2, TDP: 65W"
"AMD Athlon Dual Core 5600B","CPU","AMD","Athlon Dual","Cores: 2, TDP: 65W"
"AMD Athlon Gold 3150U","CPU","AMD","Athlon Gold","Cores: 2, TDP: 15W"
"AMD Athlon Gold PRO 3150G","CPU","AMD","Athlon Gold","Cores: 4, TDP: 65W"
"AMD Athlon Gold PRO 3150GE","CPU","AMD","Athlon Gold","Cores: 4, TDP: 35W"
"AMD Athlon II 160u","CPU","AMD","Athlon II","Cores: 1, TDP: 20W"
"AMD Athlon II 170u","CPU","AMD","Athlon II","Cores: 1, TDP: 20W"
"AMD Athlon II Dual-Core M300","CPU","AMD","Athlon II","Cores: 2, TDP: 35W"
"AMD Athlon II Dual-Core M320","CPU","AMD","Athlon II","Cores: 2, TDP: 35W"
"AMD Athlon II Dual-Core M340","CPU","AMD","Athlon II","Cores: 2, TDP: 35W"
"AMD Athlon II N330 Dual-Core","CPU","AMD","Athlon II","Cores: 2, TDP: 35W"
"AMD Athlon II N350 Dual-Core","CPU","AMD","Athlon II","Cores: 2, TDP: 35W"
"AMD Athlon II N370 Dual-Core","CPU","AMD","Athlon II","Cores: 2, TDP: 35W"
"AMD Athlon II Neo K125","CPU","AMD","Athlon II","Cores: 1, TDP: 12W"
"AMD Athlon II Neo K145","CPU","AMD","Athlon II","Cores: 1, TDP: 12W"
"AMD Athlon II Neo K325 Dual-Core","CPU","AMD","Athlon II","Cores: 2, TDP: 12W"
"AMD Athlon II Neo K345 Dual-Core","CPU","AMD","Athlon II","Cores: 2, TDP: 12W"
"AMD Athlon II Neo N36L Dual-Core","CPU","AMD","Athlon II","Cores: 2, TDP: 12W"
"AMD Athlon II P320 Dual-Core","CPU","AMD","Athlon II","Cores: 2, TDP: 25W"
"AMD Athlon II P340 Dual-Core","CPU","AMD","Athlon II","Cores: 2, TDP: 25W"
"AMD Athlon II P360 Dual-Core","CPU","AMD","Athlon II","Cores: 2, TDP: 25W"
"AMD Athlon II X2 210e","CPU","AMD","Athlon II","Cores: 2, TDP: 45W"
"AMD Athlon II X2 215","CPU","AMD","Athlon II","Cores: 2, TDP: 65W"
"AMD Athlon II X2 220","CPU","AMD","Athlon II","Cores: 2, TDP: 65W"
"AMD Athlon II X2 235e","CPU","AMD","Athlon II","Cores: 2, TDP: 45W"
