"name","type","brand","model","specs"
"FireGL V7700","GPU","UNKNOWN","FireGL V7700","Memory: Unknown"
"FireGL V8600","GPU","UNKNOWN","FireGL V8600","Memory: Unknown"
"FireGL V8650","GPU","UNKNOWN","FireGL V8650","Memory: Unknown"
"FireGL X1","GPU","UNKNOWN","FireGL X1","Memory: Unknown"
"FireMV 2200 PCI","GPU","UNKNOWN","FireMV 2200 PCI","Memory: Unknown"
"FireMV 2200 PCIe","GPU","UNKNOWN","FireMV 2200 PCIe","Memory: Unknown"
"FireMV 2250","GPU","UNKNOWN","FireMV 2250","Memory: Unknown"
"FireMV 2260","GPU","UNKNOWN","FireMV 2260","Memory: Unknown"
"FireMV 2400 PCIe","GPU","UNKNOWN","FireMV 2400 PCIe","Memory: Unknown"
"FireMV 2450","GPU","UNKNOWN","FireMV 2450","Memory: Unknown"
"FirePro 2260","GPU","UNKNOWN","FirePro 2260","Memory: Unknown"
"FirePro 2270","GPU","UNKNOWN","FirePro 2270","Memory: Unknown"
"FirePro 2450","GPU","UNKNOWN","FirePro 2450","Memory: Unknown"
"FirePro 2460","GPU","UNKNOWN","FirePro 2460","Memory: Unknown"
"FirePro 3D V3700","GPU","UNKNOWN","FirePro 3D V3700","Memory: Unknown"
"FirePro 3D V3750","GPU","UNKNOWN","FirePro 3D V3750","Memory: Unknown"
"FirePro 3D V3800","GPU","UNKNOWN","FirePro 3D V3800","Memory: Unknown"
"FirePro 3D V4800","GPU","UNKNOWN","FirePro 3D V4800","Memory: Unknown"
"FirePro 3D V5700","GPU","UNKNOWN","FirePro 3D V5700","Memory: Unknown"
"FirePro 3D V5800","GPU","UNKNOWN","FirePro 3D V5800","Memory: Unknown"
"FirePro 3D V7750","GPU","UNKNOWN","FirePro 3D V7750","Memory: Unknown"
"FirePro 3D V7800","GPU","UNKNOWN","FirePro 3D V7800","Memory: Unknown"
"FirePro 3D V8700","GPU","UNKNOWN","FirePro 3D V8700","Memory: Unknown"
"FirePro 3D V8750","GPU","UNKNOWN","FirePro 3D V8750","Memory: Unknown"
"FirePro 3D V8800","GPU","UNKNOWN","FirePro 3D V8800","Memory: Unknown"
"FirePro 3D V9800","GPU","UNKNOWN","FirePro 3D V9800","Memory: Unknown"
"FirePro M2000","GPU","UNKNOWN","FirePro M2000","Memory: Unknown"
"FirePro M4000","GPU","UNKNOWN","FirePro M4000","Memory: Unknown"
"FirePro M4000 Mobility Pro","GPU","UNKNOWN","FirePro M4000 Mobility Pro","Memory: Unknown"
"FirePro M40003","GPU","UNKNOWN","FirePro M40003","Memory: Unknown"
"Firepro M4100","GPU","UNKNOWN","Firepro M4100","Memory: Unknown"
"FirePro M4150","GPU","UNKNOWN","FirePro M4150","Memory: Unknown"
"FirePro M4170","GPU","UNKNOWN","FirePro M4170","Memory: Unknown"
"FirePro M5100","GPU","UNKNOWN","FirePro M5100","Memory: Unknown"
"FirePro M5100 FireGL V","GPU","UNKNOWN","FirePro M5100 FireGL V","Memory: Unknown"
"FirePro M5950","GPU","UNKNOWN","FirePro M5950","Memory: Unknown"
"FirePro M6000","GPU","UNKNOWN","FirePro M6000","Memory: Unknown"
"FirePro M6000 Mobility Pro","GPU","UNKNOWN","FirePro M6000 Mobility Pro","Memory: Unknown"
"FirePro M6100","GPU","UNKNOWN","FirePro M6100","Memory: Unknown"
"FirePro M6100 FireGL V","GPU","UNKNOWN","FirePro M6100 FireGL V","Memory: Unknown"
"FirePro M7740","GPU","UNKNOWN","FirePro M7740","Memory: Unknown"
"FirePro R5000","GPU","UNKNOWN","FirePro R5000","Memory: Unknown"
"FirePro RG220","GPU","UNKNOWN","FirePro RG220","Memory: Unknown"
"FirePro S10000","GPU","UNKNOWN","FirePro S10000","Memory: Unknown"
"FirePro S7000","GPU","UNKNOWN","FirePro S7000","Memory: Unknown"
"FirePro S7150","GPU","UNKNOWN","FirePro S7150","Memory: Unknown"
"FirePro S9000","GPU","UNKNOWN","FirePro S9000","Memory: Unknown"
"FirePro S9050","GPU","UNKNOWN","FirePro S9050","Memory: Unknown"
"FirePro V3800","GPU","UNKNOWN","FirePro V3800","Memory: Unknown"
"FirePro V3900","GPU","UNKNOWN","FirePro V3900","Memory: Unknown"
"FirePro V4900","GPU","UNKNOWN","FirePro V4900","Memory: Unknown"
"FirePro V5700","GPU","UNKNOWN","FirePro V5700","Memory: Unknown"
"FirePro V5800","GPU","UNKNOWN","FirePro V5800","Memory: Unknown"
"FirePro V5900","GPU","UNKNOWN","FirePro V5900","Memory: Unknown"
"FirePro V7000","GPU","UNKNOWN","FirePro V7000","Memory: Unknown"
"FirePro V7800","GPU","UNKNOWN","FirePro V7800","Memory: Unknown"
"FirePro V7900","GPU","UNKNOWN","FirePro V7900","Memory: Unknown"
"FirePro V8700","GPU","UNKNOWN","FirePro V8700","Memory: Unknown"
"FirePro V8800","GPU","UNKNOWN","FirePro V8800","Memory: Unknown"
"FirePro V9800","GPU","UNKNOWN","FirePro V9800","Memory: Unknown"
"FirePro W2100","GPU","UNKNOWN","FirePro W2100","Memory: Unknown"
"FirePro W4100","GPU","UNKNOWN","FirePro W4100","Memory: Unknown"
"FirePro W4170M","GPU","UNKNOWN","FirePro W4170M","Memory: Unknown"
"Firepro W4190M","GPU","UNKNOWN","Firepro W4190M","Memory: Unknown"
"FirePro W4300","GPU","UNKNOWN","FirePro W4300","Memory: Unknown"
"FirePro W5000","GPU","UNKNOWN","FirePro W5000","Memory: Unknown"
"FirePro W5100","GPU","UNKNOWN","FirePro W5100","Memory: Unknown"
"FirePro W5130M","GPU","UNKNOWN","FirePro W5130M","Memory: Unknown"
"Firepro W5170M","GPU","UNKNOWN","Firepro W5170M","Memory: Unknown"
"FirePro W600","GPU","UNKNOWN","FirePro W600","Memory: Unknown"
"FirePro W6150M","GPU","UNKNOWN","FirePro W6150M","Memory: Unknown"
"FirePro W7000","GPU","UNKNOWN","FirePro W7000","Memory: Unknown"
"FirePro W7000 Adapter","GPU","UNKNOWN","FirePro W7000 Adapter","Memory: Unknown"
"FirePro W7100","GPU","UNKNOWN","FirePro W7100","Memory: Unknown"
"FirePro W7170M","GPU","UNKNOWN","FirePro W7170M","Memory: Unknown"
"FirePro W8000","GPU","UNKNOWN","FirePro W8000","Memory: Unknown"
"FirePro W8100","GPU","UNKNOWN","FirePro W8100","Memory: Unknown"
"FirePro W9000","GPU","UNKNOWN","FirePro W9000","Memory: Unknown"
"FirePro W9100","GPU","UNKNOWN","FirePro W9100","Memory: Unknown"
"FireStream 9170","GPU","UNKNOWN","FireStream 9170","Memory: Unknown"
"FireStream 9250","GPU","UNKNOWN","FireStream 9250","Memory: Unknown"
"FireStream 9270","GPU","UNKNOWN","FireStream 9270","Memory: Unknown"
"FireStream 9370","GPU","UNKNOWN","FireStream 9370","Memory: Unknown"
"GeCube RADEON 7000","GPU","RADEON","GeCube RADEON 7000","Memory: Unknown"
"GeForce 205","GPU","GEFORCE","GeForce 205","Memory: Unknown"
"GeForce 210","GPU","GEFORCE","GeForce 210","Memory: Unknown"
"GeForce 240M GT","GPU","GEFORCE","GeForce 240M GT","Memory: Unknown"
"GeForce 256","GPU","GEFORCE","GeForce 256","Memory: Unknown"
"GeForce 305M","GPU","GEFORCE","GeForce 305M","Memory: Unknown"
"GeForce 310","GPU","GEFORCE","GeForce 310","Memory: Unknown"
"GeForce 310M","GPU","GEFORCE","GeForce 310M","Memory: Unknown"
"GeForce 315","GPU","GEFORCE","GeForce 315","Memory: Unknown"
"GeForce 315M","GPU","GEFORCE","GeForce 315M","Memory: Unknown"
"GeForce 320M","GPU","GEFORCE","GeForce 320M","Memory: Unknown"
"GeForce 405","GPU","GEFORCE","GeForce 405","Memory: Unknown"
"GeForce 410M","GPU","GEFORCE","GeForce 410M","Memory: Unknown"
"GeForce 505","GPU","GEFORCE","GeForce 505","Memory: Unknown"
"GeForce 510","GPU","GEFORCE","GeForce 510","Memory: Unknown"
"GeForce 605","GPU","GEFORCE","GeForce 605","Memory: Unknown"
"GeForce 6100","GPU","GEFORCE","GeForce 6100","Memory: Unknown"
"GeForce 6100 nForce 400","GPU","GEFORCE","GeForce 6100 nForce 400","Memory: Unknown"
"GeForce 6100 nForce 405","GPU","GEFORCE","GeForce 6100 nForce 405","Memory: Unknown"
"GeForce 6100 nForce 420","GPU","GEFORCE","GeForce 6100 nForce 420","Memory: Unknown"
"GeForce 6100 nForce 430","GPU","GEFORCE","GeForce 6100 nForce 430","Memory: Unknown"
"GeForce 610M","GPU","GEFORCE","GeForce 610M","Memory: Unknown"
"GeForce 615","GPU","GEFORCE","GeForce 615","Memory: Unknown"
"GeForce 6150","GPU","GEFORCE","GeForce 6150","Memory: Unknown"
"GeForce 6150 LE","GPU","GEFORCE","GeForce 6150 LE","Memory: Unknown"
"GeForce 6150SE","GPU","GEFORCE","GeForce 6150SE","Memory: Unknown"
"GeForce 6150SE nForce 430","GPU","GEFORCE","GeForce 6150SE nForce 430","Memory: Unknown"
"GeForce 6200","GPU","GEFORCE","GeForce 6200","Memory: Unknown"
"GeForce 6200 A-LE","GPU","GEFORCE","GeForce 6200 A-LE","Memory: Unknown"
"GeForce 6200 LE","GPU","GEFORCE","GeForce 6200 LE","Memory: Unknown"
"GeForce 6200 TurboCache","GPU","GEFORCE","GeForce 6200 TurboCache","Memory: Unknown"
"GeForce 6200A","GPU","GEFORCE","GeForce 6200A","Memory: Unknown"
"GeForce 6200SE TurboCache","GPU","GEFORCE","GeForce 6200SE TurboCache","Memory: Unknown"
"GeForce 6500","GPU","GEFORCE","GeForce 6500","Memory: Unknown"
"GeForce 6600","GPU","GEFORCE","GeForce 6600","Memory: Unknown"
"GeForce 6600 GT","GPU","GEFORCE","GeForce 6600 GT","Memory: Unknown"
"GeForce 6600 LE","GPU","GEFORCE","GeForce 6600 LE","Memory: Unknown"
"GeForce 6610 XL","GPU","GEFORCE","GeForce 6610 XL","Memory: Unknown"
"GeForce 6700 XL","GPU","GEFORCE","GeForce 6700 XL","Memory: Unknown"
"GeForce 6800","GPU","GEFORCE","GeForce 6800","Memory: Unknown"
"GeForce 6800 GS","GPU","GEFORCE","GeForce 6800 GS","Memory: Unknown"
"GeForce 6800 GS/XT","GPU","GEFORCE","GeForce 6800 GS/XT","Memory: Unknown"
"GeForce 6800 GT","GPU","GEFORCE","GeForce 6800 GT","Memory: Unknown"
"GeForce 6800 LE","GPU","GEFORCE","GeForce 6800 LE","Memory: Unknown"
"GeForce 6800 Ultra","GPU","GEFORCE","GeForce 6800 Ultra","Memory: Unknown"
"GeForce 6800 XE","GPU","GEFORCE","GeForce 6800 XE","Memory: Unknown"
"GeForce 6800 XT","GPU","GEFORCE","GeForce 6800 XT","Memory: Unknown"
"GeForce 7000M","GPU","GEFORCE","GeForce 7000M","Memory: Unknown"
"GeForce 7000M / nForce 610M","GPU","GEFORCE","GeForce 7000M / nForce 610M","Memory: Unknown"
"GeForce 7025 / nForce 630a","GPU","GEFORCE","GeForce 7025 / nForce 630a","Memory: Unknown"
"GeForce 7050 / nForce 610i","GPU","GEFORCE","GeForce 7050 / nForce 610i","Memory: Unknown"
"GeForce 7050 / nForce 620i","GPU","GEFORCE","GeForce 7050 / nForce 620i","Memory: Unknown"
"GeForce 7050 / nForce 630i","GPU","GEFORCE","GeForce 7050 / nForce 630i","Memory: Unknown"
"GeForce 7050 PV / nForce 630a","GPU","GEFORCE","GeForce 7050 PV / nForce 630a","Memory: Unknown"
"GeForce 705M","GPU","GEFORCE","GeForce 705M","Memory: Unknown"
"GeForce 7100 / nForce 620i","GPU","GEFORCE","GeForce 7100 / nForce 620i","Memory: Unknown"
"GeForce 7100 / nForce 630i","GPU","GEFORCE","GeForce 7100 / nForce 630i","Memory: Unknown"
"GeForce 7100 GS","GPU","GEFORCE","GeForce 7100 GS","Memory: Unknown"
"GeForce 710A","GPU","GEFORCE","GeForce 710A","Memory: Unknown"
"GeForce 710M","GPU","GEFORCE","GeForce 710M","Memory: Unknown"
"GeForce 7150 / nForce 630i","GPU","GEFORCE","GeForce 7150 / nForce 630i","Memory: Unknown"
"GeForce 7150M / nForce 630M","GPU","GEFORCE","GeForce 7150M / nForce 630M","Memory: Unknown"
"GeForce 7200 GS","GPU","GEFORCE","GeForce 7200 GS","Memory: Unknown"
"GeForce 720A","GPU","GEFORCE","GeForce 720A","Memory: Unknown"
"GeForce 7300 GS","GPU","GEFORCE","GeForce 7300 GS","Memory: Unknown"
"GeForce 7300 GT","GPU","GEFORCE","GeForce 7300 GT","Memory: Unknown"
"GeForce 7300 LE","GPU","GEFORCE","GeForce 7300 LE","Memory: Unknown"
"GeForce 7300 SE","GPU","GEFORCE","GeForce 7300 SE","Memory: Unknown"
"GeForce 7300 SE/7200 GS","GPU","GEFORCE","GeForce 7300 SE/7200 GS","Memory: Unknown"
"GeForce 730A","GPU","GEFORCE","GeForce 730A","Memory: Unknown"
"GeForce 7350 LE","GPU","GEFORCE","GeForce 7350 LE","Memory: Unknown"
"GeForce 7500 LE","GPU","GEFORCE","GeForce 7500 LE","Memory: Unknown"
"GeForce 7600 GS","GPU","GEFORCE","GeForce 7600 GS","Memory: Unknown"
"GeForce 7600 GT","GPU","GEFORCE","GeForce 7600 GT","Memory: Unknown"
"GeForce 7650 GS","GPU","GEFORCE","GeForce 7650 GS","Memory: Unknown"
"GeForce 770M","GPU","GEFORCE","GeForce 770M","Memory: Unknown"
"GeForce 7800 GS","GPU","GEFORCE","GeForce 7800 GS","Memory: Unknown"
"GeForce 7800 GT","GPU","GEFORCE","GeForce 7800 GT","Memory: Unknown"
"GeForce 7800 GTX","GPU","GEFORCE","GeForce 7800 GTX","Memory: Unknown"
"GeForce 7900 GS","GPU","GEFORCE","GeForce 7900 GS","Memory: Unknown"
"GeForce 7900 GT","GPU","GEFORCE","GeForce 7900 GT","Memory: Unknown"
"GeForce 7900 GT/GTO","GPU","GEFORCE","GeForce 7900 GT/GTO","Memory: Unknown"
"GeForce 7900 GTX","GPU","GEFORCE","GeForce 7900 GTX","Memory: Unknown"
"GeForce 7950 GT","GPU","GEFORCE","GeForce 7950 GT","Memory: Unknown"
"GeForce 7950 GX2","GPU","GEFORCE","GeForce 7950 GX2","Memory: Unknown"
"GeForce 7950 Xtreme","GPU","GEFORCE","GeForce 7950 Xtreme","Memory: Unknown"
"GeForce 800A","GPU","GEFORCE","GeForce 800A","Memory: Unknown"
"GeForce 800M","GPU","GEFORCE","GeForce 800M","Memory: Unknown"
"GeForce 8100 / nForce 720a","GPU","GEFORCE","GeForce 8100 / nForce 720a","Memory: Unknown"
"GeForce 810A","GPU","GEFORCE","GeForce 810A","Memory: Unknown"
"GeForce 810M","GPU","GEFORCE","GeForce 810M","Memory: Unknown"
"GeForce 8200","GPU","GEFORCE","GeForce 8200","Memory: Unknown"
"GeForce 8200M G","GPU","GEFORCE","GeForce 8200M G","Memory: Unknown"
"GeForce 820A","GPU","GEFORCE","GeForce 820A","Memory: Unknown"
"GeForce 820M","GPU","GEFORCE","GeForce 820M","Memory: Unknown"
"GeForce 825M","GPU","GEFORCE","GeForce 825M","Memory: Unknown"
"GeForce 8300","GPU","GEFORCE","GeForce 8300","Memory: Unknown"
"GeForce 8300 GS","GPU","GEFORCE","GeForce 8300 GS","Memory: Unknown"
"GeForce 830A","GPU","GEFORCE","GeForce 830A","Memory: Unknown"
"GeForce 830M","GPU","GEFORCE","GeForce 830M","Memory: Unknown"
"GeForce 8400","GPU","GEFORCE","GeForce 8400","Memory: Unknown"
"GeForce 8400 GS","GPU","GEFORCE","GeForce 8400 GS","Memory: Unknown"
"GeForce 8400 SE","GPU","GEFORCE","GeForce 8400 SE","Memory: Unknown"
"GeForce 8400M G","GPU","GEFORCE","GeForce 8400M G","Memory: Unknown"
"GeForce 8400M GS","GPU","GEFORCE","GeForce 8400M GS","Memory: Unknown"
"GeForce 8400M GT","GPU","GEFORCE","GeForce 8400M GT","Memory: Unknown"
"GeForce 840A","GPU","GEFORCE","GeForce 840A","Memory: Unknown"
"GeForce 840M","GPU","GEFORCE","GeForce 840M","Memory: Unknown"
"GeForce 845M","GPU","GEFORCE","GeForce 845M","Memory: Unknown"
"GeForce 8500 GT","GPU","GEFORCE","GeForce 8500 GT","Memory: Unknown"
"GeForce 8600 GS","GPU","GEFORCE","GeForce 8600 GS","Memory: Unknown"
"GeForce 8600 GT","GPU","GEFORCE","GeForce 8600 GT","Memory: Unknown"
"GeForce 8600 GTS","GPU","GEFORCE","GeForce 8600 GTS","Memory: Unknown"
"GeForce 8600M GS","GPU","GEFORCE","GeForce 8600M GS","Memory: Unknown"
"GeForce 8600M GT","GPU","GEFORCE","GeForce 8600M GT","Memory: Unknown"
"GeForce 8700M GT","GPU","GEFORCE","GeForce 8700M GT","Memory: Unknown"
"GeForce 8800 GS","GPU","GEFORCE","GeForce 8800 GS","Memory: Unknown"
"GeForce 8800 GT","GPU","GEFORCE","GeForce 8800 GT","Memory: Unknown"
"GeForce 8800 GTS","GPU","GEFORCE","GeForce 8800 GTS","Memory: Unknown"
"GeForce 8800 GTS 512","GPU","GEFORCE","GeForce 8800 GTS 512","Memory: Unknown"
"GeForce 8800 GTX","GPU","GEFORCE","GeForce 8800 GTX","Memory: Unknown"
"GeForce 8800 Ultra","GPU","GEFORCE","GeForce 8800 Ultra","Memory: Unknown"
"GeForce 8800M GTS","GPU","GEFORCE","GeForce 8800M GTS","Memory: Unknown"
"GeForce 8800M GTX","GPU","GEFORCE","GeForce 8800M GTX","Memory: Unknown"
"GeForce 9100","GPU","GEFORCE","GeForce 9100","Memory: Unknown"
"GeForce 9100M G","GPU","GEFORCE","GeForce 9100M G","Memory: Unknown"
"GeForce 910M","GPU","GEFORCE","GeForce 910M","Memory: Unknown"
"GeForce 9200","GPU","GEFORCE","GeForce 9200","Memory: Unknown"
"GeForce 9200M GE","GPU","GEFORCE","GeForce 9200M GE","Memory: Unknown"
"GeForce 9200M GS","GPU","GEFORCE","GeForce 9200M GS","Memory: Unknown"
"GeForce 920A","GPU","GEFORCE","GeForce 920A","Memory: Unknown"
"GeForce 920M","GPU","GEFORCE","GeForce 920M","Memory: Unknown"
