"name","type","brand","model","specs"
"Gigabyte GA-AX370M-DS3H","Motherboard","Gigabyte","GA-AX370M-DS3H","Socket: AM4, Chipset: AMD X370"
"Gigabyte B450 Aorus Pro WiFi","Motherboard","Gigabyte","B450 Aorus Pro WiFi","Socket: AM4, Chipset: AMD B450"
"Asus Prime Z390-P","Motherboard","Asus","Prime Z390-P","Socket: LGA 1151, Chipset: Intel Z390"
"Gigabyte Z390 Aorus Ultra","Motherboard","Gigabyte","Z390 Aorus Ultra","Socket: LGA 1151, Chipset: Intel Z390"
"Asus Prime B350M-A","Motherboard","Asus","Prime B350M-A","Socket: AM4, Chipset: AMD B350"
"Gigabyte GA-H270-HD3","Motherboard","Gigabyte","GA-H270-HD3","Socket: LGA 1151, Chipset: Intel H270"
"MSI B250M Bazooka","Motherboard","MSI","B250M Bazooka","Socket: LGA 1151, Chipset: Intel B250"
"Asus ROG Strix B250F Gaming","Motherboard","Asus","ROG Strix B250F Gaming","Socket: LGA 1151, Chipset: Intel B250"
"Gigabyte G1.Sniper B7","Motherboard","Gigabyte","G1.Sniper B7","Socket: LGA 1151, Chipset: Intel B150"
"MSI B350 PC Mate","Motherboard","MSI","B350 PC Mate","Socket: AM4, Chipset: AMD B350"
"Asrock B250M-HDV","Motherboard","Asrock","B250M-HDV","Socket: LGA 1151, Chipset: Intel B250"
"MSI B250M Pro-VDH","Motherboard","MSI","B250M Pro-VDH","Socket: LGA 1151, Chipset: Intel B250"
"Gigabyte B450M DS3H","Motherboard","Gigabyte","B450M DS3H","Socket: AM4, Chipset: AMD B450"
"MSI Z370 Gaming Plus","Motherboard","MSI","Z370 Gaming Plus","Socket: LGA 1151, Chipset: Intel Z370"
"ECS H110H4-M19","Motherboard","ECS","H110H4-M19","Socket: LGA 1151, Chipset: Intel H110"
"Asrock H110 Pro BTC+","Motherboard","Asrock","H110 Pro BTC+","Socket: LGA 1151, Chipset: Intel H110"
"Asus ROG Strix B350-F Gaming","Motherboard","Asus","ROG Strix B350-F Gaming","Socket: AM4, Chipset: AMD B350"
"Asrock B550M Pro4","Motherboard","Asrock","B550M Pro4","Socket: AM4, Chipset: AMD B550"
