"name","type","brand","model","specs"
"Gigabyte X570 Aorus Pro Wifi","Motherboard","Gigabyte","X570 Aorus Pro Wifi","Socket: AM4, Chipset: AMD X570"
"MSI Z270 Tomahawk Arctic","Motherboard","MSI","Z270 Tomahawk Arctic","Socket: LGA 1151, Chipset: Intel Z270"
"Asrock X99 Extreme4/3.1","Motherboard","Asrock","X99 Extreme4/3.1","Socket: LGA 2011-3, Chipset: Intel X99"
"Gigabyte B450 I Aorus Pro WiFi","Motherboard","Gigabyte","B450 I Aorus Pro WiFi","Socket: AM4, Chipset: AMD B450"
"MSI 970A-G43","Motherboard","MSI","970A-G43","Socket: AM3+, Chipset: AMD 970"
"Asus ROG Maximus IX Formula","Motherboard","Asus","ROG Maximus IX Formula","Socket: LGA 1151, Chipset: Intel Z270"
"MSI Z370M Mortar","Motherboard","MSI","Z370M Mortar","Socket: LGA 1151, Chipset: Intel Z370"
"Gigabyte GA-Z170M-D3H DDR3","Motherboard","Gigabyte","GA-Z170M-D3H DDR3","Socket: LGA 1151, Chipset: Intel Z170"
"Gigabyte GA-H170-D3HP","Motherboard","Gigabyte","GA-H170-D3HP","Socket: LGA 1151, Chipset: Intel H170"
"Asus ROG Rampage III Black Edition","Motherboard","Asus","ROG Rampage III Black Edition","Socket: LGA 1366, Chipset: Intel X58"
"Biostar TA320-BTC","Motherboard","Biostar","TA320-BTC","Socket: AM4, Chipset: AMD A320"
"Gigabyte GA-B150M-D2V","Motherboard","Gigabyte","GA-B150M-D2V","Socket: LGA 1151, Chipset: Intel B150"
"Colorful iGame X299 Vulcan X White","Motherboard","Colorful","iGame X299 Vulcan X White","Socket: LGA 2066, Chipset: Intel X299"
"Asus ROG Maximus III Extreme","Motherboard","Asus","ROG Maximus III Extreme","Socket: LGA 1156, Chipset: Intel P55"
"Asus Pro WS X570-Ace","Motherboard","Asus","Pro WS X570-Ace","Socket: AM4, Chipset: AMD X570"
"Gigabyte X299 Aorus Gaming 3","Motherboard","Gigabyte","X299 Aorus Gaming 3","Socket: LGA 2066, Chipset: Intel X299"
"Asus ROG Maximus V Extreme","Motherboard","Asus","ROG Maximus V Extreme","Socket: LGA 1155, Chipset: Intel Z77"
"Gigabyte GA-Z170-HD3 DDR3","Motherboard","Gigabyte","GA-Z170-HD3 DDR3","Socket: LGA 1151, Chipset: Intel Z170"
"Asus Prime B450M-A","Motherboard","Asus","Prime B450M-A","Socket: AM4, Chipset: AMD B450"
"Asrock Fatal1ty X99 Professional/3.1","Motherboard","Asrock","Fatal1ty X99 Professional/3.1","Socket: LGA 2011-3, Chipset: Intel X99"
"Asrock H110M-DGS","Motherboard","Asrock","H110M-DGS","Socket: LGA 1151, Chipset: Intel H110"
"Gigabyte B450 Aorus M","Motherboard","Gigabyte","B450 Aorus M","Socket: AM4, Chipset: AMD B450"
"Gigabyte X299 Aorus Ultra Gaming Pro","Motherboard","Gigabyte","X299 Aorus Ultra Gaming Pro","Socket: LGA 2066, Chipset: Intel X299"
"Asrock H110M-ITX/ac","Motherboard","Asrock","H110M-ITX/ac","Socket: LGA 1151, Chipset: Intel H110"
"MSI X399 Gaming Pro Carbon AC","Motherboard","MSI","X399 Gaming Pro Carbon AC","Socket: TR4, Chipset: AMD X399"
"MSI H110M PRO-VH","Motherboard","MSI","H110M PRO-VH","Socket: LGA 1151, Chipset: Intel H110"
"Asus B150 Pro Gaming/Aura","Motherboard","Asus","B150 Pro Gaming/Aura","Socket: LGA 1151, Chipset: Intel B150"
"Gigabyte GA-Z270X-Gaming K7","Motherboard","Gigabyte","GA-Z270X-Gaming K7","Socket: LGA 1151, Chipset: Intel Z270"
"Asrock Fatal1ty X299 Professional Gaming i9 XE","Motherboard","Asrock","Fatal1ty X299 Professional Gaming i9 XE","Socket: LGA 2066, Chipset: Intel X299"
"Asus TUF Z270 Mark 2","Motherboard","Asus","TUF Z270 Mark 2","Socket: LGA 1151, Chipset: Intel Z270"
"Asus ROG Strix Z390-E Gaming","Motherboard","Asus","ROG Strix Z390-E Gaming","Socket: LGA 1151, Chipset: Intel Z390"
"Supermicro C7Z270-PG","Motherboard","Supermicro","C7Z270-PG","Socket: LGA 1151, Chipset: Intel Z270"
"MSI X399 SLI Plus","Motherboard","MSI","X399 SLI Plus","Socket: TR4, Chipset: AMD X399"
"Asus ROG Striker II NSE","Motherboard","Asus","ROG Striker II NSE","Socket: LGA 775, Chipset: Nvidia nForce 790i SLI"
"MSI X370 Krait Gaming","Motherboard","MSI","X370 Krait Gaming","Socket: AM4, Chipset: AMD X370"
"Gigabyte GA-A320-DS3","Motherboard","Gigabyte","GA-A320-DS3","Socket: AM4, Chipset: AMD A320"
"Asus Prime B250M-D","Motherboard","Asus","Prime B250M-D","Socket: LGA 1151, Chipset: Intel B250"
"Asus Prime H370M-Plus","Motherboard","Asus","Prime H370M-Plus","Socket: LGA 1151, Chipset: Intel H370"
"Asus ROG Strix Z270I Gaming","Motherboard","Asus","ROG Strix Z270I Gaming","Socket: LGA 1151, Chipset: Intel Z270"
"Biostar X370GT7","Motherboard","Biostar","X370GT7","Socket: AM4, Chipset: AMD X370"
"Asus H370 Mining Master","Motherboard","Asus","H370 Mining Master","Socket: LGA 1151, Chipset: Intel H370"
"Gigabyte GA-Z170X-Gaming 7 Rev. 1.0","Motherboard","Gigabyte","GA-Z170X-Gaming 7 Rev. 1.0","Socket: LGA 1151, Chipset: Intel Z170"
"ECS A320AM4-M3D","Motherboard","ECS","A320AM4-M3D","Socket: AM4, Chipset: AMD A320"
"Gigabyte X299 Aorus Gaming 9","Motherboard","Gigabyte","X299 Aorus Gaming 9","Socket: LGA 2066, Chipset: Intel X299"
"Asrock Z170 Extreme3","Motherboard","Asrock","Z170 Extreme3","Socket: LGA 1151, Chipset: Intel Z170"
"Asrock 990FX Extreme4","Motherboard","Asrock","990FX Extreme4","Socket: AM3+, Chipset: AMD 990FX"
"Asrock B365M Phantom Gaming 4","Motherboard","Asrock","B365M Phantom Gaming 4","Socket: LGA 1151, Chipset: Intel B365"
"ECS H110S-2P","Motherboard","ECS","H110S-2P","Socket: LGA 1151, Chipset: Intel H110"
"Maxsun MS-Meterstone B250M Gaming R2.0","Motherboard","Maxsun","MS-Meterstone B250M Gaming R2.0","Socket: LGA 1151, Chipset: Intel B250"
"Asrock Fatal1ty X399 Professional Gaming","Motherboard","Asrock","Fatal1ty X399 Professional Gaming","Socket: TR4, Chipset: AMD X399"
"MSI H270 Tomahawk Arctic","Motherboard","MSI","H270 Tomahawk Arctic","Socket: LGA 1151, Chipset: Intel H270"
"Asrock 990FX Extreme6","Motherboard","Asrock","990FX Extreme6","Socket: AM3+, Chipset: AMD 990FX"
"Asus Prime X470-Pro","Motherboard","Asus","Prime X470-Pro","Socket: AM4, Chipset: AMD X470"
"Asus Prime B250M-Plus","Motherboard","Asus","Prime B250M-Plus","Socket: LGA 1151, Chipset: Intel B250"
"Asus Prime X399-A","Motherboard","Asus","Prime X399-A","Socket: TR4, Chipset: AMD X399"
"Gigabyte GA-Z170X-Gaming 6 Rev. 1.1","Motherboard","Gigabyte","GA-Z170X-Gaming 6 Rev. 1.1","Socket: LGA 1151, Chipset: Intel Z170"
"MSI 990FXA-GD80","Motherboard","MSI","990FXA-GD80","Socket: AM3+, Chipset: AMD 990FX"
"Gigabyte GA-Z270M-D3H","Motherboard","Gigabyte","GA-Z270M-D3H","Socket: LGA 1151, Chipset: Intel Z270"
"Asrock MXM IPC-H110","Motherboard","Asrock","MXM IPC-H110","Socket: LGA 1151, Chipset: Intel H110"
"Gigabyte GA-Z270N-Gaming 5","Motherboard","Gigabyte","GA-Z270N-Gaming 5","Socket: LGA 1151, Chipset: Intel Z270"
"Asrock X299 OC Formula","Motherboard","Asrock","X299 OC Formula","Socket: LGA 2066, Chipset: Intel X299"
"Gigabyte GA-B150M-Gaming","Motherboard","Gigabyte","GA-B150M-Gaming","Socket: LGA 1151, Chipset: Intel B150"
"Gigabyte GA-H110M-HD2","Motherboard","Gigabyte","GA-H110M-HD2","Socket: LGA 1151, Chipset: Intel H110"
"Asrock A320M-ITX","Motherboard","Asrock","A320M-ITX","Socket: AM4, Chipset: AMD A320"
"MSI Z170A PC Mate","Motherboard","MSI","Z170A PC Mate","Socket: LGA 1151, Chipset: Intel Z170"
"Gigabyte GA-Z170N-WIFI Rev. 2.0","Motherboard","Gigabyte","GA-Z170N-WIFI Rev. 2.0","Socket: LGA 1151, Chipset: Intel Z170"
"Asus Z170-AR","Motherboard","Asus","Z170-AR","Socket: LGA 1151, Chipset: Intel Z170"
"Asrock H310M-HDV/M.2","Motherboard","Asrock","H310M-HDV/M.2","Socket: LGA 1151, Chipset: Intel H310"
"Biostar X370GT5","Motherboard","Biostar","X370GT5","Socket: AM4, Chipset: AMD X370"
"MSI Z370 Krait Gaming","Motherboard","MSI","Z370 Krait Gaming","Socket: LGA 1151, Chipset: Intel Z370"
"MSI B350M Pro-VD Plus","Motherboard","MSI","B350M Pro-VD Plus","Socket: AM4, Chipset: AMD B350"
"MSI H170M PRO-VDH","Motherboard","MSI","H170M PRO-VDH","Socket: LGA 1151, Chipset: Intel H170"
"Biostar B250GT3","Motherboard","Biostar","B250GT3","Socket: LGA 1151, Chipset: Intel B250"
"Asrock Fatal1ty H370 Performance","Motherboard","Asrock","Fatal1ty H370 Performance","Socket: LGA 1151, Chipset: Intel H370"
"Gigabyte X299 Aorus Gaming 3 Pro","Motherboard","Gigabyte","X299 Aorus Gaming 3 Pro","Socket: LGA 2066, Chipset: Intel X299"
"MSI B150A Gaming Pro","Motherboard","MSI","B150A Gaming Pro","Socket: LGA 1151, Chipset: Intel B150"
"Asus Sabertooth 990FX R3.0","Motherboard","Asus","Sabertooth 990FX R3.0","Socket: AM3+, Chipset: AMD 990FX"
"Maxsun MS-B250M Gaming","Motherboard","Maxsun","MS-B250M Gaming","Socket: LGA 1151, Chipset: Intel B250"
"MSI MEG X570 Godlike","Motherboard","MSI","MEG X570 Godlike","Socket: AM4, Chipset: AMD X570"
"Asus ROG Crossblade Ranger","Motherboard","Asus","ROG Crossblade Ranger","Socket: FM2+, Chipset: AMD A88X"
"Biostar B350ET2","Motherboard","Biostar","B350ET2","Socket: AM4, Chipset: AMD B350"
"Asus Z270-WS","Motherboard","Asus","Z270-WS","Socket: LGA 1151, Chipset: Intel Z270"
"EVGA X299 Micro","Motherboard","EVGA","X299 Micro","Socket: LGA 2066, Chipset: Intel X299"
"Asus ROG Rampage VI Apex","Motherboard","Asus","ROG Rampage VI Apex","Socket: LGA 2066, Chipset: Intel X299"
"Asus Prime B250M-A","Motherboard","Asus","Prime B250M-A","Socket: LGA 1151, Chipset: Intel B250"
"Gigabyte GA-990FXA-UD5 Rev. 3.0","Motherboard","Gigabyte","GA-990FXA-UD5 Rev. 3.0","Socket: AM3+, Chipset: AMD 990FX"
"Asus ROG Strix H270F Gaming","Motherboard","Asus","ROG Strix H270F Gaming","Socket: LGA 1151, Chipset: Intel H270"
"MSI H270-A Pro","Motherboard","MSI","H270-A Pro","Socket: LGA 1151, Chipset: Intel H270"
"Biostar Z370GT7","Motherboard","Biostar","Z370GT7","Socket: LGA 1151, Chipset: Intel Z370"
"MSI Z270 XPower Gaming Titanium","Motherboard","MSI","Z270 XPower Gaming Titanium","Socket: LGA 1151, Chipset: Intel Z270"
"MSI Z270M Mortar","Motherboard","MSI","Z270M Mortar","Socket: LGA 1151, Chipset: Intel Z270"
"Asrock H310M-STX/COM","Motherboard","Asrock","H310M-STX/COM","Socket: LGA 1151, Chipset: Intel H310"
"Gigabyte Z370 Aorus Ultra Gaming 2.0","Motherboard","Gigabyte","Z370 Aorus Ultra Gaming 2.0","Socket: LGA 1151, Chipset: Intel Z370"
"Gigabyte X299 Aorus Ultra Gaming","Motherboard","Gigabyte","X299 Aorus Ultra Gaming","Socket: LGA 2066, Chipset: Intel X299"
"Asrock Fatal1ty B450 Gaming K4","Motherboard","Asrock","Fatal1ty B450 Gaming K4","Socket: AM4, Chipset: AMD B450"
"MSI B250M Bazooka Plus","Motherboard","MSI","B250M Bazooka Plus","Socket: LGA 1151, Chipset: Intel B250"
"Gigabyte GA-B150-HD3P","Motherboard","Gigabyte","GA-B150-HD3P","Socket: LGA 1151, Chipset: Intel B150"
"Gigabyte GA-Z170X-UD3","Motherboard","Gigabyte","GA-Z170X-UD3","Socket: LGA 1151, Chipset: Intel Z170"
"Asrock Fatal1ty Z370 Professional Gaming i7","Motherboard","Asrock","Fatal1ty Z370 Professional Gaming i7","Socket: LGA 1151, Chipset: Intel Z370"
"Gigabyte Z490M","Motherboard","Gigabyte","Z490M","Socket: LGA 1200, Chipset: Intel Z490"
"Asrock H270M-ITX/ac","Motherboard","Asrock","H270M-ITX/ac","Socket: LGA 1151, Chipset: Intel H270"
"Asus Prime H270-Pro","Motherboard","Asus","Prime H270-Pro","Socket: LGA 1151, Chipset: Intel H270"
"Asrock B360M Pro4","Motherboard","Asrock","B360M Pro4","Socket: LGA 1151, Chipset: Intel B360"
"Asus Prime X370-A","Motherboard","Asus","Prime X370-A","Socket: AM4, Chipset: AMD X370"
"Biostar H110M-BTC","Motherboard","Biostar","H110M-BTC","Socket: LGA 1151, Chipset: Intel H110"
"MSI 970A-G46","Motherboard","MSI","970A-G46","Socket: AM3+, Chipset: AMD 970"
"Gigabyte GA-H110M-WW","Motherboard","Gigabyte","GA-H110M-WW","Socket: LGA 1151, Chipset: Intel H110"
"Asrock Z170 Extreme7+","Motherboard","Asrock","Z170 Extreme7+","Socket: LGA 1151, Chipset: Intel Z170"
"Colorful iGame Z270 Ymir-X","Motherboard","Colorful","iGame Z270 Ymir-X","Socket: LGA 1151, Chipset: Intel Z270"
"Gigabyte GA-AB350M-D3V","Motherboard","Gigabyte","GA-AB350M-D3V","Socket: AM4, Chipset: AMD B350"
"Asus ROG Maximus VI Gene","Motherboard","Asus","ROG Maximus VI Gene","Socket: LGA 1150, Chipset: Intel Z87"
"Asrock B460 Pro4","Motherboard","Asrock","B460 Pro4","Socket: LGA 1200, Chipset: Intel B460"
"Asrock X299E-ITX/ac","Motherboard","Asrock","X299E-ITX/ac","Socket: LGA 2066, Chipset: Intel X299"
"MSI X370 SLI Plus","Motherboard","MSI","X370 SLI Plus","Socket: AM4, Chipset: AMD X370"
"Asrock EPYC3101D4I-2T","Motherboard","Asrock","EPYC3101D4I-2T","Socket: Onboard CPU, Chipset: SOC"
"MSI H270M Mortar Arctic","Motherboard","MSI","H270M Mortar Arctic","Socket: LGA 1151, Chipset: Intel H270"
"Asrock Fatal1ty H170 Performance","Motherboard","Asrock","Fatal1ty H170 Performance","Socket: LGA 1151, Chipset: Intel H170"
"MSI B350 Tomahawk Plus","Motherboard","MSI","B350 Tomahawk Plus","Socket: AM4, Chipset: AMD B350"
"MSI X299 Gaming Pro Carbon AC","Motherboard","MSI","X299 Gaming Pro Carbon AC","Socket: LGA 2066, Chipset: Intel X299"
"Asus Z170 Pro Gaming/Aura","Motherboard","Asus","Z170 Pro Gaming/Aura","Socket: LGA 1151, Chipset: Intel Z170"
"Asrock B150M Pro4/Hyper","Motherboard","Asrock","B150M Pro4/Hyper","Socket: LGA 1151, Chipset: Intel B150"
"MSI X299 Tomahawk AC","Motherboard","MSI","X299 Tomahawk AC","Socket: LGA 2066, Chipset: Intel X299"
"Asus ROG Strix Z390-I Gaming","Motherboard","Asus","ROG Strix Z390-I Gaming","Socket: LGA 1151, Chipset: Intel Z390"
"Asrock B150M Pro4V","Motherboard","Asrock","B150M Pro4V","Socket: LGA 1151, Chipset: Intel B150"
"Asus EX-H310M-V3","Motherboard","Asus","EX-H310M-V3","Socket: LGA 1151, Chipset: Intel H310"
"EVGA Classified SR-X","Motherboard","EVGA","Classified SR-X","Socket: 2x LGA 2011, Chipset: Intel C606"
"Asrock X99 Extreme6","Motherboard","Asrock","X99 Extreme6","Socket: LGA 2011-3, Chipset: Intel X99"
"Asrock Z270 Killer SLI","Motherboard","Asrock","Z270 Killer SLI","Socket: LGA 1151, Chipset: Intel Z270"
"Asrock EPYC3251D4I-2T","Motherboard","Asrock","EPYC3251D4I-2T","Socket: Onboard CPU, Chipset: SOC"
"Supermicro X11DPH-Tq","Motherboard","Supermicro","X11DPH-Tq","Socket: 2x LGA 3647, Chipset: Intel C628"
"Asrock Fatal1ty X299 Gaming K6","Motherboard","Asrock","Fatal1ty X299 Gaming K6","Socket: LGA 2066, Chipset: Intel X299"
"MSI B250 Gaming Pro Carbon","Motherboard","MSI","B250 Gaming Pro Carbon","Socket: LGA 1151, Chipset: Intel B250"
"Asrock Fatal1ty 970 Performance","Motherboard","Asrock","Fatal1ty 970 Performance","Socket: AM3+, Chipset: AMD 970"
"Asrock H310M-STX","Motherboard","Asrock","H310M-STX","Socket: LGA 1151, Chipset: Intel H310"
"Gigabyte GA-H270-HD3P","Motherboard","Gigabyte","GA-H270-HD3P","Socket: LGA 1151, Chipset: Intel H270"
"Asrock Z170M Pro4S","Motherboard","Asrock","Z170M Pro4S","Socket: LGA 1151, Chipset: Intel Z170"
"Asus Prime Z390M-Plus","Motherboard","Asus","Prime Z390M-Plus","Socket: LGA 1151, Chipset: Intel Z390"
"Biostar P4M800-M7A Rev. 1.0","Motherboard","Biostar","P4M800-M7A Rev. 1.0","Socket: LGA 775, Chipset: VIA P4M800"
"Asrock X570 Phantom Gaming-ITX/TB3","Motherboard","Asrock","X570 Phantom Gaming-ITX/TB3","Socket: AM4, Chipset: AMD X570"
"Colorful Battle Axe C.AB350M-HD Plus V14","Motherboard","Colorful","Battle Axe C.AB350M-HD Plus V14","Socket: AM4, Chipset: AMD B350"
"Asrock Z270M Extreme4","Motherboard","Asrock","Z270M Extreme4","Socket: LGA 1151, Chipset: Intel Z270"
"Maxsun MS-Z170MD4 Turbo","Motherboard","Maxsun","MS-Z170MD4 Turbo","Socket: LGA 1151, Chipset: Intel Z170"
"NZXT N7 Z370 White","Motherboard","NZXT","N7 Z370 White","Socket: LGA 1151, Chipset: Intel Z370"
"Gigabyte X470 Aorus Ultra Gaming","Motherboard","Gigabyte","X470 Aorus Ultra Gaming","Socket: AM4, Chipset: AMD X470"
"Gigabyte GA-Z270MX-Gaming 5","Motherboard","Gigabyte","GA-Z270MX-Gaming 5","Socket: LGA 1151, Chipset: Intel Z270"
"Asrock Fatal1ty X370 Gaming-ITX/ac","Motherboard","Asrock","Fatal1ty X370 Gaming-ITX/ac","Socket: AM4, Chipset: AMD X370"
"MSI B150M PRO-VDH","Motherboard","MSI","B150M PRO-VDH","Socket: LGA 1151, Chipset: Intel B150"
"Asrock H270M Pro4","Motherboard","Asrock","H270M Pro4","Socket: LGA 1151, Chipset: Intel H270"
"Asus ROG Strix X299-XE Gaming","Motherboard","Asus","ROG Strix X299-XE Gaming","Socket: LGA 2066, Chipset: Intel X299"
"Asus ROG Crosshair IV Extreme","Motherboard","Asus","ROG Crosshair IV Extreme","Socket: AM3, Chipset: AMD 890FX"
"Gigabyte GA-Z170X-Gaming 3 Rev. 1.1","Motherboard","Gigabyte","GA-Z170X-Gaming 3 Rev. 1.1","Socket: LGA 1151, Chipset: Intel Z170"
"Asus ROG Strix X399-E Gaming","Motherboard","Asus","ROG Strix X399-E Gaming","Socket: TR4, Chipset: AMD X399"
"MSI H110M-A PRO M2","Motherboard","MSI","H110M-A PRO M2","Socket: LGA 1151, Chipset: Intel H110"
"Asrock Z170 Pro4/D3","Motherboard","Asrock","Z170 Pro4/D3","Socket: LGA 1151, Chipset: Intel Z170"
"Asrock Z390M Pro4","Motherboard","Asrock","Z390M Pro4","Socket: LGA 1151, Chipset: Intel Z390"
"Asus Prime H310M-CS R2.0","Motherboard","Asus","Prime H310M-CS R2.0","Socket: LGA 1151, Chipset: Intel H310"
"MSI Z170-A Pro","Motherboard","MSI","Z170-A Pro","Socket: LGA 1151, Chipset: Intel Z170"
"Gigabyte Z390 Gaming SLI","Motherboard","Gigabyte","Z390 Gaming SLI","Socket: LGA 1151, Chipset: Intel Z390"
"XFX X58i","Motherboard","XFX","X58i","Socket: LGA 1366, Chipset: Intel X58"
"Asrock 990FX Extreme9","Motherboard","Asrock","990FX Extreme9","Socket: AM3+, Chipset: AMD 990FX"
"MSI X99A Raider","Motherboard","MSI","X99A Raider","Socket: LGA 2011-3, Chipset: Intel X99"
"Gigabyte GA-EX58-Extreme","Motherboard","Gigabyte","GA-EX58-Extreme","Socket: LGA 1366, Chipset: Intel X58"
"MSI B250I Gaming Pro AC","Motherboard","MSI","B250I Gaming Pro AC","Socket: LGA 1151, Chipset: Intel B250"
"Gigabyte MZ31-AR0","Motherboard","Gigabyte","MZ31-AR0","Socket: SP3, Chipset: None + None"
"Asus ROG Maximus IX Extreme","Motherboard","Asus","ROG Maximus IX Extreme","Socket: LGA 1151, Chipset: Intel Z270"
"MSI H110M PRO-VD D3","Motherboard","MSI","H110M PRO-VD D3","Socket: LGA 1151, Chipset: Intel H110"
"Asus TUF H370-Pro Gaming","Motherboard","Asus","TUF H370-Pro Gaming","Socket: LGA 1151, Chipset: Intel H370"
"Asrock 880GM-LE FX","Motherboard","Asrock","880GM-LE FX","Socket: AM3+, Chipset: AMD 880G"
"Gigabyte GA-Z270-Phoenix Gaming","Motherboard","Gigabyte","GA-Z270-Phoenix Gaming","Socket: LGA 1151, Chipset: Intel Z270"
"Maxsun MS-A970FX Turbo","Motherboard","Maxsun","MS-A970FX Turbo","Socket: AM3+, Chipset: AMD 970"
"Asus ROG Strix Z390-F Gaming","Motherboard","Asus","ROG Strix Z390-F Gaming","Socket: LGA 1151, Chipset: Intel Z390"
"Gigabyte GA-X150-Plus WS","Motherboard","Gigabyte","GA-X150-Plus WS","Socket: LGA 1151, Chipset: Intel C232"
"NZXT N7 Z390 White","Motherboard","NZXT","N7 Z390 White","Socket: LGA 1151, Chipset: Intel Z390"
"Gigabyte GA-970-Gaming Rev. 1.1","Motherboard","Gigabyte","GA-970-Gaming Rev. 1.1","Socket: AM3+, Chipset: AMD 970"
"Biostar Gaming Z170T","Motherboard","Biostar","Gaming Z170T","Socket: LGA 1151, Chipset: Intel Z170"
"Asrock X99 Taichi","Motherboard","Asrock","X99 Taichi","Socket: LGA 2011-3, Chipset: Intel X99"
"Asus ROG Rampage II Gene","Motherboard","Asus","ROG Rampage II Gene","Socket: LGA 1366, Chipset: Intel X58"
"MSI Z170A Tomahawk","Motherboard","MSI","Z170A Tomahawk","Socket: LGA 1151, Chipset: Intel Z170"
"MSI Z370M Gaming Pro AC","Motherboard","MSI","Z370M Gaming Pro AC","Socket: LGA 1151, Chipset: Intel Z370"
"Asus ROG Strix X99 Gaming","Motherboard","Asus","ROG Strix X99 Gaming","Socket: LGA 2011-3, Chipset: Intel X99"
"Biostar P4M800-M7","Motherboard","Biostar","P4M800-M7","Socket: LGA 775, Chipset: VIA P4M800"
"Asrock B150M Combo-G","Motherboard","Asrock","B150M Combo-G","Socket: LGA 1151, Chipset: Intel B150"
"Gigabyte GA-H170-Gaming 3 Rev. 1.0","Motherboard","Gigabyte","GA-H170-Gaming 3 Rev. 1.0","Socket: LGA 1151, Chipset: Intel H170"
"Asrock B550 Phantom Gaming-ITX/ax","Motherboard","Asrock","B550 Phantom Gaming-ITX/ax","Socket: AM4, Chipset: AMD B550"
"Asrock Fatal1ty Z270 Gaming K4","Motherboard","Asrock","Fatal1ty Z270 Gaming K4","Socket: LGA 1151, Chipset: Intel Z270"
"MSI B350M Pro-VH Plus","Motherboard","MSI","B350M Pro-VH Plus","Socket: AM4, Chipset: AMD B350"
"Asrock Z170M Extreme4","Motherboard","Asrock","Z170M Extreme4","Socket: LGA 1151, Chipset: Intel Z170"
"Asrock Z170 Pro4","Motherboard","Asrock","Z170 Pro4","Socket: LGA 1151, Chipset: Intel Z170"
"MSI B350 Krait Gaming","Motherboard","MSI","B350 Krait Gaming","Socket: AM4, Chipset: AMD B350"
"Gigabyte GA-B250M-Gaming 5","Motherboard","Gigabyte","GA-B250M-Gaming 5","Socket: LGA 1151, Chipset: Intel B250"
"MSI H110I Pro AC","Motherboard","MSI","H110I Pro AC","Socket: LGA 1151, Chipset: Intel H110"
"MSI X299 XPower Gaming AC","Motherboard","MSI","X299 XPower Gaming AC","Socket: LGA 2066, Chipset: Intel X299"
"Asrock IMB-790","Motherboard","Asrock","IMB-790","Socket: LGA 1151, Chipset: Intel Q170"
"MSI H110M ECO","Motherboard","MSI","H110M ECO","Socket: LGA 1151, Chipset: Intel H110"
"Gigabyte GA-Z270X-UD5","Motherboard","Gigabyte","GA-Z270X-UD5","Socket: LGA 1151, Chipset: Intel Z270"
"Asus H170 Pro Gaming","Motherboard","Asus","H170 Pro Gaming","Socket: LGA 1151, Chipset: Intel H170"
"MSI Z270 Gaming Pro Carbon","Motherboard","MSI","Z270 Gaming Pro Carbon","Socket: LGA 1151, Chipset: Intel Z270"
"Biostar Hi-Fi B150S1 D4","Motherboard","Biostar","Hi-Fi B150S1 D4","Socket: LGA 1151, Chipset: Intel B150"
"Asrock X99M Extreme4","Motherboard","Asrock","X99M Extreme4","Socket: LGA 2011-3, Chipset: Intel X99"
"Colorful iGame Z370 Vulcan X","Motherboard","Colorful","iGame Z370 Vulcan X","Socket: LGA 1151, Chipset: Intel Z370"
"MSI Z270 Tomahawk OPT Boost","Motherboard","MSI","Z270 Tomahawk OPT Boost","Socket: LGA 1151, Chipset: Intel Z270"
"Asrock X370M Pro4","Motherboard","Asrock","X370M Pro4","Socket: AM4, Chipset: AMD X370"
"EVGA X99 Micro2","Motherboard","EVGA","X99 Micro2","Socket: LGA 2011-3, Chipset: Intel X99"
"MSI B150M Bazooka D3","Motherboard","MSI","B150M Bazooka D3","Socket: LGA 1151, Chipset: Intel B150"
"MSI 970A-G43 Plus","Motherboard","MSI","970A-G43 Plus","Socket: AM3+, Chipset: AMD 970"
"Biostar B350GTN","Motherboard","Biostar","B350GTN","Socket: AM4, Chipset: AMD B350"
"Gigabyte GA-Z170X-UD3 Ultra","Motherboard","Gigabyte","GA-Z170X-UD3 Ultra","Socket: LGA 1151, Chipset: Intel Z170"
"Gigabyte GA-Z170X-Gaming G1","Motherboard","Gigabyte","GA-Z170X-Gaming G1","Socket: LGA 1151, Chipset: Intel Z170"
"Gigabyte H370 Aorus Gaming 3","Motherboard","Gigabyte","H370 Aorus Gaming 3","Socket: LGA 1151, Chipset: Intel H370"
"Asus ROG Maximus XI Gene","Motherboard","Asus","ROG Maximus XI Gene","Socket: LGA 1151, Chipset: Intel Z390"
"Asus Prime B350-Plus","Motherboard","Asus","Prime B350-Plus","Socket: AM4, Chipset: AMD B350"
"MSI Z170A Tomahawk AC","Motherboard","MSI","Z170A Tomahawk AC","Socket: LGA 1151, Chipset: Intel Z170"
"Asrock X570 Steel Legend WiFi ax","Motherboard","Asrock","X570 Steel Legend WiFi ax","Socket: AM4, Chipset: AMD X570"
"Supermicro X11DAi-N","Motherboard","Supermicro","X11DAi-N","Socket: 2x LGA 3647, Chipset: Intel C621"
"Gigabyte GA-H170M-D3H","Motherboard","Gigabyte","GA-H170M-D3H","Socket: LGA 1151, Chipset: Intel H170"
"Asus Z170M-E D3","Motherboard","Asus","Z170M-E D3","Socket: LGA 1151, Chipset: Intel Z170"
"Asus ROG Maximus IX Apex","Motherboard","Asus","ROG Maximus IX Apex","Socket: LGA 1151, Chipset: Intel Z270"
"Asrock H110M-HDV/D3","Motherboard","Asrock","H110M-HDV/D3","Socket: LGA 1151, Chipset: Intel H110"
"Asrock X299 Killer SLI/ac","Motherboard","Asrock","X299 Killer SLI/ac","Socket: LGA 2066, Chipset: Intel X299"
"Asrock Fatal1ty X99M Killer/3.1","Motherboard","Asrock","Fatal1ty X99M Killer/3.1","Socket: LGA 2011-3, Chipset: Intel X99"
